id,description,en,en_CA,ru,es,fr
appearance,Label,Appearance,Appearance,Внешний вид,Apariencia,Apparence
units,Label,Units,Units,Единицы измерения,Unidades,Unités
motto,App's motto,Every beat counts.,Every beat counts.,Every beat counts.,Cada latido cuenta.,Chaque battement compte.
toLightMode,tooltip,Light,Light,Светлая,Claro,Clair
toDarkMode,tooltip,Dark,Dark,Темная,Oscuro,Sombre
toSystemMode,tooltip,System,System,Системная,Sistema,Système
email,Generic label,Email,Email,Эл. почта,Correo,E-mail
yourEmail,Generic label,Your email,Your email,Ваш email,Tu correo,Votre e-mail
cropAvatar,Label in the image cropper,Crop avatar,Crop avatar,Обрезать аватар,Recortar avatar,Recadrer l’avatar
nameOptional,Field hint,Name (optional),Name (optional),Имя (необязательно),Nombre (opcional),Nom (facultatif)
name,Field hint,Name,Name,Имя,Nombre,Nom
saveName,Hint,Save name,Save name,Сохранить имя,Guardar nombre,Enregistrer le nom
changeName,Hint,Change name,Change name,Изменить имя,Cambiar nombre,Modifier le nom
save,Generic label,Save,Save,Сохранить,Guardar,Enregistrer
settings,Generic label,Settings,Settings,Настройки,Ajustes,Paramètres
archive,"CTA, verb",Archive,Archive,Архивировать,Archivar,Archiver
unarchive,"CTA, verb",Unarchive,Unarchive,Разархивировать,Desarchivar,Désarchiver
password,Generic label,Password,Password,Пароль,Contraseña,Mot de passe
logIn,Generic label,Log in,Log in,Войти,Iniciar sesión,Se connecter
logInTitle,Login page copy,Welcome Back,Welcome Back,С возвращением!,Hola de nuevo,Ravi de vous revoir
logInBody,Login page copy,"You've already started something important. 
Let's keep going.","You've already started something important.
Let's keep going.","Вы уже начали что-то важное.
Давайте продолжим!","Ya empezaste algo importante. 
Sigamos adelante.","Vous avez déjà commencé quelque chose d’important. 
Continuons sur cette lancée."
signUpTitle,Sign up page copy,Begin with Heart,Begin with Heart,Начните с Heart,Empieza con Heart,Commencez avec Heart
signUpBody,Sign up page copy,"Every journey starts with one decision. 
This one's yours.","Every journey starts with one decision.
This one's yours.","Каждое путешествие начинается с одного решения.
Это — ваше.","Todo camino empieza con una decisión. 
Esta es tuya.","Chaque parcours commence par une décision. 
Celle-ci vous appartient."
recoverTitle,Recover page copy,Still with You,Still with You,Все еще с вами,Seguimos contigo,Toujours là pour vous
recoverBody,Recover page copy,"Your journey isn't lost. 
Just a moment of pause — we'll reset together.","Your journey isn't lost.
Just a moment of pause — we'll reset together.","Ваш путь не потерян.
Просто небольшая пауза — давайте начнем заново.","Tu camino no está perdido. 
Solo es una pausa — lo restableceremos juntos.","Votre parcours n’est pas perdu. 
Juste une pause — on repart ensemble."
logInWithGoogle,Button label,Log in with Google,Log in with Google,Войти через Google,Iniciar sesión con Google,Se connecter avec Google
signUpWithGoogle,Button label,Sign up with Google,Sign up with Google,Зарегистрироваться через Google,Registrarse con Google,S’inscrire avec Google
logInWithApple,Button label,Log in with Apple,Log in with Apple,Войти через Apple,Iniciar sesión con Apple,Se connecter avec Apple
signUpWithApple,Button label,Sign up with Apple,Sign up with Apple,Зарегистрироваться через Apple,Registrarse con Apple,S’inscrire avec Apple
logOut,Generic label,Log out,Log out,Выйти,Cerrar sesión,Se déconnecter
profile,"Generic label, e.g. bottom nav bar",Profile,Profile,Профиль,Perfil,Profil
workout,"Generic label, e.g. bottom nav bar",Workout,Workout,Тренировка,Entrenamiento,Séance
history,"Generic label, e.g. bottom nav bar",History,History,История,Historial,Historique
exercises,"Generic label, e.g. bottom nav bar",Exercises,Exercises,Упражнения,Ejercicios,Exercices
search,"Generic label, e.g. bin the search bar",Search,Search,Поиск,Buscar,Rechercher
startNewWorkout,Button label,Start a new workout,Start a new workout,Начать новую тренировку,Empezar un nuevo entrenamiento,Commencer une nouvelle séance
cancelCurrentWorkoutTitle,Button label,Cancel current workout?,Cancel current workout?,Отменить текущую тренировку?,¿Cancelar el entrenamiento actual?,Annuler la séance en cours ?
cancelCurrentWorkoutBody,Button label,You have a workout in progress. Do you want to cancel it and start a new one?,You have a workout in progress. Do you want to cancel it and start a new one?,У вас есть незавершенная тренировка. Хотите отменить её и начать новую?,Tienes un entrenamiento en curso. ¿Quieres cancelarlo y empezar uno nuevo?,Vous avez une séance en cours. Voulez-vous l’annuler et en commencer une nouvelle ?
startNewWorkoutFromTemplate,Alert dialog,Start a new workout from this template?,Start a new workout from this template?,Начать новую тренировку по этому шаблону?,¿Empezar un nuevo entrenamiento con esta plantilla?,Commencer une nouvelle séance à partir de ce modèle ?
